subscriber_id,site_id,site_name,site_group_name,site_type,maf_number,lat,lon,landowner_id,trading_name,contract_name
34,34807,Bull Paddock,Queen Rearing,BREEDING,,-40.249456,175.266556,4232,,Ngati Apa
34,34804,Central Skid,Queen Rearing,BREEDING,,-39.9574,175.292136,4232,,Ngati Apa
34,10014,Chopper,Te Pa,WINTERING,,-39.51668,175.34678,1384,Tepa Station,AWHI - Hamish
34,3754,Colts House,Te Pa,HONEY,,-39.51484,175.34167,1384,Tepa Station,AWHI - Hamish
34,34811,Concrete Pad,Queen Rearing,BREEDING,,-39.986147,175.101169,4232,,Ngati Apa
34,34815,End Site Harakeke,Queen Rearing,BREEDING,,-39.995328,175.120689,4232,,Ngati Apa
34,34800,End Site Okirea,Queen Rearing,BREEDING,,-39.869639,175.346644,4232,,Ngati Apa
34,34816,Fenceline,Queen Rearing,BREEDING,,-39.992208,175.106003,4232,,Ngati Apa
34,9837,Flooded,Te Pa,WINTERING,162,-39.536402,175.428074,1384,Tepa Station,AWHI - Hamish
34,3763,Fodder Beet,Te Pa,HONEY,133,-39.53226,175.43735,1384,Tepa Station,AWHI - Hamish
34,25066,Forest 2,Forest - Oha,WINTERING,265,-39.80885,175.21279,,,
34,25067,Forest 3,Forest - Oha,WINTERING,266,-39.80642,175.21945,,,
34,25068,Forest 4,Forest - Oha,WINTERING,264,-39.80607,175.22465,,,
34,25069,Forest 5,Forest - Oha,WINTERING,267,-39.80686,175.22836,,,
34,25070,Forest 6,Forest - Oha,WINTERING,268,-39.808851,175.231394,,,
34,25071,Forest 7,Forest - Oha,WINTERING,269,-39.81093,175.23404,,,
34,25072,Forest 8,Forest - Oha,WINTERING,270,-39.8132,175.23763,,,
34,25073,Forest Back,Forest - Oha,WINTERING,271,-39.82164,175.22414,,,
34,25065,Forest Back 2,Forest - Oha,WINTERING,321,-39.821465,175.227955,,,
34,34752,Gate End,Queen Rearing,BREEDING,,-39.866878,175.305828,4232,,Ngati Apa
34,34751,Gate Top End,Queen Rearing,BREEDING,,-39.862756,175.308236,4232,,Ngati Apa
34,28698,Haitana 1,Makakahi,WINTERING,311,-39.343818,175.156403,6414,,Judy Haitana
34,15357,Hinau 1,Lismore,WINTERING,,-39.81832,175.23372,,,
34,15356,Hinau 2,Lismore,WINTERING,,-39.81907,175.23938,,,
